kind,scenario_id,method,metric,n,bootstrap_ci_method,bootstrap_ci_lower,bootstrap_ci_upper
feasible,critical-edge-command,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,534561714.0,544565637.5
feasible,critical-edge-command,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,15567546.0,15955854.5
feasible,critical-edge-command,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,394181246.0,401629788.0
feasible,critical-edge-command,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,102290870.5,105280132.0
feasible,critical-edge-command,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,499916.5,523477.0
feasible,critical-edge-command,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,433854739.5,442082497.0
feasible,critical-edge-command,bilateral_minimax_regret,peak_rss_kib,30,percentile,80456.0,80796.0
feasible,critical-edge-command,bilateral_minimax_regret,context_switches,30,percentile,176.5,179.0
feasible,critical-edge-command,bilateral_minimax_regret,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,bilateral_minimax_regret,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,canonical_first_safe,total_session_wall_time_ns,30,percentile,537616694.0,550976143.5
feasible,critical-edge-command,canonical_first_safe,tls_handshake_time_ns,30,percentile,15700064.5,16067820.5
feasible,critical-edge-command,canonical_first_safe,negotiation_selection_time_ns,30,percentile,396809169.0,408821138.0
feasible,critical-edge-command,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,102436750.5,105192580.5
feasible,critical-edge-command,canonical_first_safe,task_request_response_time_ns,30,percentile,497261.0,516502.0
feasible,critical-edge-command,canonical_first_safe,process_cpu_time_ns,30,percentile,436445499.5,448280196.5
feasible,critical-edge-command,canonical_first_safe,peak_rss_kib,30,percentile,80448.0,80816.0
feasible,critical-edge-command,canonical_first_safe,context_switches,30,percentile,177.0,182.5
feasible,critical-edge-command,canonical_first_safe,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,canonical_first_safe,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,535721726.0,546663402.0
feasible,critical-edge-command,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,15423698.5,15950362.0
feasible,critical-edge-command,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,397190800.0,403678950.5
feasible,critical-edge-command,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,103272063.5,104384616.5
feasible,critical-edge-command,initiator_minimum_cost,task_request_response_time_ns,30,percentile,500154.5,522342.0
feasible,critical-edge-command,initiator_minimum_cost,process_cpu_time_ns,30,percentile,436751122.5,444438393.5
feasible,critical-edge-command,initiator_minimum_cost,peak_rss_kib,30,percentile,80448.0,80796.0
feasible,critical-edge-command,initiator_minimum_cost,context_switches,30,percentile,176.0,185.5
feasible,critical-edge-command,initiator_minimum_cost,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,initiator_minimum_cost,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,critical-edge-command,minimum_total_cost,total_session_wall_time_ns,30,percentile,534249433.0,548712023.5
feasible,critical-edge-command,minimum_total_cost,tls_handshake_time_ns,30,percentile,15614392.5,16067180.0
feasible,critical-edge-command,minimum_total_cost,negotiation_selection_time_ns,30,percentile,394393327.0,403714161.5
feasible,critical-edge-command,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,101769201.0,105807409.0
feasible,critical-edge-command,minimum_total_cost,task_request_response_time_ns,30,percentile,493327.5,527627.0
feasible,critical-edge-command,minimum_total_cost,process_cpu_time_ns,30,percentile,435695758.0,443853004.5
feasible,critical-edge-command,minimum_total_cost,peak_rss_kib,30,percentile,80450.0,80798.0
feasible,critical-edge-command,minimum_total_cost,context_switches,30,percentile,176.5,180.0
feasible,critical-edge-command,minimum_total_cost,contract_size_bytes,30,percentile,14783.0,14783.0
feasible,critical-edge-command,minimum_total_cost,total_protocol_bytes,30,percentile,15691.0,15691.0
feasible,low-risk-public-tool,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,443745643.0,453919433.5
feasible,low-risk-public-tool,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,10303362.5,10560518.0
feasible,low-risk-public-tool,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,311281297.5,318777973.5
feasible,low-risk-public-tool,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,99794341.0,102996876.0
feasible,low-risk-public-tool,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,494093.5,509350.5
feasible,low-risk-public-tool,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,351423200.0,358827776.5
feasible,low-risk-public-tool,bilateral_minimax_regret,peak_rss_kib,30,percentile,80432.0,80796.0
feasible,low-risk-public-tool,bilateral_minimax_regret,context_switches,30,percentile,143.5,150.5
feasible,low-risk-public-tool,bilateral_minimax_regret,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,bilateral_minimax_regret,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,canonical_first_safe,total_session_wall_time_ns,30,percentile,442194144.5,448320532.5
feasible,low-risk-public-tool,canonical_first_safe,tls_handshake_time_ns,30,percentile,10168921.0,10506720.5
