kind,scenario_id,method,metric,n,mean,median,stddev,iqr,p5,p95,bootstrap_ci_method,bootstrap_ci_lower,bootstrap_ci_upper,observation_ids
feasible,critical-edge-command,bilateral_minimax_regret,total_session_wall_time_ns,30,542254077.0,537621867.5,16135782.979362052,17017876.5,524912952.25,566476638.05,percentile,534561714.0,544565637.5,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,tls_handshake_time_ns,30,15859852.166666666,15811720.0,700353.2983197238,668818.5,14979905.15,17266149.849999998,percentile,15567546.0,15955854.5,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,negotiation_selection_time_ns,30,399895430.23333335,398612746.0,11460872.476376861,14401735.75,385722869.7,421659355.95,percentile,394181246.0,401629788.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,105108786.2,103673713.5,6773289.2123048,4637748.0,100145739.8,115083646.39999999,percentile,102290870.5,105280132.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,task_request_response_time_ns,30,515163.0,511520.0,43709.03750626566,45864.5,442142.05,590008.8999999999,percentile,499916.5,523477.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,process_cpu_time_ns,30,440132445.6333333,438868751.0,12562733.574714517,17575874.0,424760356.9,466281535.15,percentile,433854739.5,442082497.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,peak_rss_kib,30,80523.46666666666,80708.0,574.183662394638,680.0,79376.0,81188.0,percentile,80456.0,80796.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,context_switches,30,178.93333333333334,178.0,5.185745271702854,5.5,173.0,187.1,percentile,176.5,179.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,contract_size_bytes,30,14783.0,14783.0,0.0,0.0,14783.0,14783.0,percentile,14783.0,14783.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
feasible,critical-edge-command,bilateral_minimax_regret,total_protocol_bytes,30,15691.0,15691.0,0.0,0.0,15691.0,15691.0,percentile,15691.0,15691.0,feasible:critical-edge-command:bilateral_minimax_regret:b01:r01;feasible:critical-edge-command:bilateral_minimax_regret:b01:r02;feasible:critical-edge-command:bilateral_minimax_regret:b01:r03;feasible:critical-edge-command:bilateral_minimax_regret:b01:r04;feasible:critical-edge-command:bilateral_minimax_regret:b01:r05;feasible:critical-edge-command:bilateral_minimax_regret:b01:r06;feasible:critical-edge-command:bilateral_minimax_regret:b01:r07;feasible:critical-edge-command:bilateral_minimax_regret:b01:r08;feasible:critical-edge-command:bilateral_minimax_regret:b01:r09;feasible:critical-edge-command:bilateral_minimax_regret:b01:r10;feasible:critical-edge-command:bilateral_minimax_regret:b02:r11;feasible:critical-edge-command:bilateral_minimax_regret:b02:r12;feasible:critical-edge-command:bilateral_minimax_regret:b02:r13;feasible:critical-edge-command:bilateral_minimax_regret:b02:r14;feasible:critical-edge-command:bilateral_minimax_regret:b02:r15;feasible:critical-edge-command:bilateral_minimax_regret:b02:r16;feasible:critical-edge-command:bilateral_minimax_regret:b02:r17;feasible:critical-edge-command:bilateral_minimax_regret:b02:r18;feasible:critical-edge-command:bilateral_minimax_regret:b02:r19;feasible:critical-edge-command:bilateral_minimax_regret:b02:r20;feasible:critical-edge-command:bilateral_minimax_regret:b03:r21;feasible:critical-edge-command:bilateral_minimax_regret:b03:r22;feasible:critical-edge-command:bilateral_minimax_regret:b03:r23;feasible:critical-edge-command:bilateral_minimax_regret:b03:r24;feasible:critical-edge-command:bilateral_minimax_regret:b03:r25;feasible:critical-edge-command:bilateral_minimax_regret:b03:r26;feasible:critical-edge-command:bilateral_minimax_regret:b03:r27;feasible:critical-edge-command:bilateral_minimax_regret:b03:r28;feasible:critical-edge-command:bilateral_minimax_regret:b03:r29;feasible:critical-edge-command:bilateral_minimax_regret:b03:r30
