family,comparison,raw_p_value,corrected_p_value,method
feasible_paired_method_comparisons,total_session_wall_time_ns:canonical_first_safe,0.6482600518210058,1.0,Holm
feasible_paired_method_comparisons,total_session_wall_time_ns:initiator_minimum_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,total_session_wall_time_ns:minimum_total_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,tls_handshake_time_ns:canonical_first_safe,1.0,1.0,Holm
feasible_paired_method_comparisons,tls_handshake_time_ns:initiator_minimum_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,tls_handshake_time_ns:minimum_total_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,negotiation_selection_time_ns:canonical_first_safe,1.0,1.0,Holm
feasible_paired_method_comparisons,negotiation_selection_time_ns:initiator_minimum_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,negotiation_selection_time_ns:minimum_total_cost,0.3153033008322578,1.0,Holm
feasible_paired_method_comparisons,contract_sign_verify_gate_time_ns:canonical_first_safe,0.3153033008322578,1.0,Holm
feasible_paired_method_comparisons,contract_sign_verify_gate_time_ns:initiator_minimum_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,contract_sign_verify_gate_time_ns:minimum_total_cost,0.5229909838899945,1.0,Holm
feasible_paired_method_comparisons,task_request_response_time_ns:canonical_first_safe,0.5229909838899945,1.0,Holm
feasible_paired_method_comparisons,task_request_response_time_ns:initiator_minimum_cost,1.0,1.0,Holm
feasible_paired_method_comparisons,task_request_response_time_ns:minimum_total_cost,0.5229909838899945,1.0,Holm
feasible_paired_method_comparisons,process_cpu_time_ns:canonical_first_safe,1.0,1.0,Holm
feasible_paired_method_comparisons,process_cpu_time_ns:initiator_minimum_cost,0.9273150210898833,1.0,Holm
feasible_paired_method_comparisons,process_cpu_time_ns:minimum_total_cost,0.41142322026393763,1.0,Holm
feasible_paired_method_comparisons,peak_rss_kib:canonical_first_safe,0.5758493477318467,1.0,Holm
feasible_paired_method_comparisons,peak_rss_kib:initiator_minimum_cost,0.47988766169832786,1.0,Holm
feasible_paired_method_comparisons,peak_rss_kib:minimum_total_cost,1.0,1.0,Holm
feasible_paired_method_comparisons,context_switches:canonical_first_safe,0.1597615077850183,1.0,Holm
feasible_paired_method_comparisons,context_switches:initiator_minimum_cost,0.5726564757939473,1.0,Holm
feasible_paired_method_comparisons,context_switches:minimum_total_cost,0.853408445895563,1.0,Holm
feasible_paired_method_comparisons,contract_size_bytes:canonical_first_safe,1.0,1.0,Holm
feasible_paired_method_comparisons,contract_size_bytes:initiator_minimum_cost,1.0,1.0,Holm
feasible_paired_method_comparisons,contract_size_bytes:minimum_total_cost,1.0,1.0,Holm
feasible_paired_method_comparisons,total_protocol_bytes:canonical_first_safe,1.0,1.0,Holm
feasible_paired_method_comparisons,total_protocol_bytes:initiator_minimum_cost,1.0,1.0,Holm
feasible_paired_method_comparisons,total_protocol_bytes:minimum_total_cost,1.0,1.0,Holm
