observation_id,kind,scenario_id,method,attack_id,component
adversarial:task_request_before_contract_verification:t01,adversarial,,,task_request_before_contract_verification,
adversarial:tls_activation_before_signed_contract:t01,adversarial,,,tls_activation_before_signed_contract,
adversarial:modified_selected_profile:t01,adversarial,,,modified_selected_profile,
adversarial:modified_signed_contract_hash:t01,adversarial,,,modified_signed_contract_hash,
adversarial:requested_tls_group_mismatch:t01,adversarial,,,requested_tls_group_mismatch,
adversarial:negotiated_tls_group_mismatch:t01,adversarial,,,negotiated_tls_group_mismatch,
adversarial:modified_task_contract_hash:t01,adversarial,,,modified_task_contract_hash,
adversarial:replayed_task_request:t01,adversarial,,,replayed_task_request,
adversarial:replayed_signed_contract:t01,adversarial,,,replayed_signed_contract,
adversarial:illegal_state_transition:t01,adversarial,,,illegal_state_transition,
adversarial:duplicate_sequence_number:t01,adversarial,,,duplicate_sequence_number,
adversarial:skipped_sequence_number:t01,adversarial,,,skipped_sequence_number,
adversarial:oversized_frame:t01,adversarial,,,oversized_frame,
adversarial:truncated_frame:t01,adversarial,,,truncated_frame,
adversarial:payload_hash_mismatch:t01,adversarial,,,payload_hash_mismatch,
adversarial:unsupported_message_type:t01,adversarial,,,unsupported_message_type,
adversarial:responder_process_termination:t01,adversarial,,,responder_process_termination,
adversarial:handshake_timeout:t01,adversarial,,,handshake_timeout,
adversarial:tls_handshake_failure:t01,adversarial,,,tls_handshake_failure,
adversarial:attempted_weaker_group_retry:t01,adversarial,,,attempted_weaker_group_retry,
adversarial:task_request_before_contract_verification:t02,adversarial,,,task_request_before_contract_verification,
adversarial:tls_activation_before_signed_contract:t02,adversarial,,,tls_activation_before_signed_contract,
adversarial:modified_selected_profile:t02,adversarial,,,modified_selected_profile,
adversarial:modified_signed_contract_hash:t02,adversarial,,,modified_signed_contract_hash,
adversarial:requested_tls_group_mismatch:t02,adversarial,,,requested_tls_group_mismatch,
adversarial:negotiated_tls_group_mismatch:t02,adversarial,,,negotiated_tls_group_mismatch,
adversarial:modified_task_contract_hash:t02,adversarial,,,modified_task_contract_hash,
adversarial:replayed_task_request:t02,adversarial,,,replayed_task_request,
adversarial:replayed_signed_contract:t02,adversarial,,,replayed_signed_contract,
adversarial:illegal_state_transition:t02,adversarial,,,illegal_state_transition,
adversarial:duplicate_sequence_number:t02,adversarial,,,duplicate_sequence_number,
adversarial:skipped_sequence_number:t02,adversarial,,,skipped_sequence_number,
adversarial:oversized_frame:t02,adversarial,,,oversized_frame,
adversarial:truncated_frame:t02,adversarial,,,truncated_frame,
adversarial:payload_hash_mismatch:t02,adversarial,,,payload_hash_mismatch,
adversarial:unsupported_message_type:t02,adversarial,,,unsupported_message_type,
adversarial:responder_process_termination:t02,adversarial,,,responder_process_termination,
adversarial:handshake_timeout:t02,adversarial,,,handshake_timeout,
adversarial:tls_handshake_failure:t02,adversarial,,,tls_handshake_failure,
adversarial:attempted_weaker_group_retry:t02,adversarial,,,attempted_weaker_group_retry,
adversarial:task_request_before_contract_verification:t03,adversarial,,,task_request_before_contract_verification,
adversarial:tls_activation_before_signed_contract:t03,adversarial,,,tls_activation_before_signed_contract,
