observation_id,kind,scenario_id,method,attack_id,component
component:policy_compilation:p01,component,,,,policy_compilation
component:commit_creation:p01,component,,,,commit_creation
component:reveal_verification:p01,component,,,,reveal_verification
component:Pareto_computation:p01,component,,,,Pareto_computation
component:minimax_regret_computation:p01,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p01,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p01,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p01,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p01,component,,,,conflict_certificate_generation
component:IUS_verification:p01,component,,,,IUS_verification
component:state_trace_verification:p01,component,,,,state_trace_verification
component:policy_compilation:p02,component,,,,policy_compilation
component:commit_creation:p02,component,,,,commit_creation
component:reveal_verification:p02,component,,,,reveal_verification
component:Pareto_computation:p02,component,,,,Pareto_computation
component:minimax_regret_computation:p02,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p02,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p02,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p02,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p02,component,,,,conflict_certificate_generation
component:IUS_verification:p02,component,,,,IUS_verification
component:state_trace_verification:p02,component,,,,state_trace_verification
component:policy_compilation:p03,component,,,,policy_compilation
component:commit_creation:p03,component,,,,commit_creation
component:reveal_verification:p03,component,,,,reveal_verification
component:Pareto_computation:p03,component,,,,Pareto_computation
component:minimax_regret_computation:p03,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p03,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p03,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p03,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p03,component,,,,conflict_certificate_generation
component:IUS_verification:p03,component,,,,IUS_verification
component:state_trace_verification:p03,component,,,,state_trace_verification
component:policy_compilation:p04,component,,,,policy_compilation
component:commit_creation:p04,component,,,,commit_creation
component:reveal_verification:p04,component,,,,reveal_verification
component:Pareto_computation:p04,component,,,,Pareto_computation
component:minimax_regret_computation:p04,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p04,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p04,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p04,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p04,component,,,,conflict_certificate_generation
component:IUS_verification:p04,component,,,,IUS_verification
component:state_trace_verification:p04,component,,,,state_trace_verification
component:policy_compilation:p05,component,,,,policy_compilation
component:commit_creation:p05,component,,,,commit_creation
component:reveal_verification:p05,component,,,,reveal_verification
component:Pareto_computation:p05,component,,,,Pareto_computation
component:minimax_regret_computation:p05,component,,,,minimax_regret_computation
component:unsigned_contract_canonicalization:p05,component,,,,unsigned_contract_canonicalization
component:ML-DSA-65_signing_and_verification:p05,component,,,,ML-DSA-65_signing_and_verification
component:ML-DSA-87_signing_and_verification:p05,component,,,,ML-DSA-87_signing_and_verification
component:conflict_certificate_generation:p05,component,,,,conflict_certificate_generation
component:IUS_verification:p05,component,,,,IUS_verification
component:state_trace_verification:p05,component,,,,state_trace_verification
component:policy_compilation:p06,component,,,,policy_compilation
