initiator_weights,responder_weights,preference_conflict,minimax_selected,canonical_selected,minimum_total_selected,initiator_selected,responder_selected,minimax_maximum_regret,canonical_first_safe_maximum_regret,canonical_first_safe_fairness_gain,minimum_total_cost_maximum_regret,minimum_total_cost_fairness_gain,initiator_minimum_cost_maximum_regret,initiator_minimum_cost_fairness_gain,responder_minimum_cost_maximum_regret,responder_minimum_cost_fairness_gain
0/0/10000,0/0/10000,False,S04,S00,S04,S04,S04,0E-28,0.8333333333333333333333333333,0.8333333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/1000/9000,False,S04,S00,S04,S04,S04,0E-28,0.8388888888888888888888888889,0.8388888888888888888888888889,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/2000/8000,False,S04,S00,S04,S04,S04,0E-28,0.8444444444444444444444444444,0.8444444444444444444444444444,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/3000/7000,False,S04,S00,S04,S04,S04,0E-28,0.8500000000000000000000000000,0.8500000000000000000000000000,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/4000/6000,False,S04,S00,S04,S04,S04,0E-28,0.8555555555555555555555555556,0.8555555555555555555555555556,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/5000/5000,False,S04,S00,S04,S04,S04,0E-28,0.8611111111111111111111111110,0.8611111111111111111111111110,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/6000/4000,False,S04,S00,S04,S04,S04,0E-28,0.8666666666666666666666666666,0.8666666666666666666666666666,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/7000/3000,False,S04,S00,S04,S04,S04,0E-28,0.8722222222222222222222222222,0.8722222222222222222222222222,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/8000/2000,False,S04,S00,S04,S04,S04,0E-28,0.8777777777777777777777777778,0.8777777777777777777777777778,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
0/0/10000,0/9000/1000,False,S04,S00,S04,S04,S04,0E-28,0.8833333333333333333333333333,0.8833333333333333333333333333,0E-28,0E-28,0E-28,0E-28,0E-28,0E-28
